1|2|0|bgp
1|3|0|bgp
1|4|0|bgp
1|5|0|bgp
1|9|0|bgp
2|3|0|bgp
3|4|0|bgp
3|8|0|bgp
4|10|0|bgp
4|12|0|bgp
4|5|0|bgp
1|13|0|bgp
1|24|0|bgp
1|32|0|bgp
1|33|0|bgp
1|34|0|bgp
1|35|0|bgp
1|42|0|bgp
4|42|0|bgp
1|3549|-1|bgp
1|11537|-1|bgp
1|133296|-1|bgp
2|6147|-1|bgp
2|21954|-1|bgp
2|26862|-1|bgp
2|37030|-1|bgp
3|293|-1|bgp
3|6147|-1|bgp
3|6939|-1|bgp
3|23248|-1|bgp
3|27881|-1|bgp
3|56994|-1|bgp
3|137098|-1|bgp
3|138783|-1|bgp
3|266177|-1|bgp
3|266813|-1|bgp
4|6147|-1|bgp
4|205906|-1|bgp
4|268517|-1|bgp
5|52352|-1|bgp
6|200612|-1|bgp
8|1700|-1|bgp
8|34805|-1|bgp
10|46392|-1|bgp
10|200612|-1|bgp
12|54965|-1|bgp
13|1508|-1|bgp
24|293|-1|bgp
24|2153|-1|bgp
24|7575|-1|bgp
24|10343|-1|bgp
24|22388|-1|bgp
32|3671|-1|bgp
32|46750|-1|bgp
33|54680|-1|bgp
34|2|0|bgp
34|10466|-1|bgp
34|30641|-1|bgp
35|5691|-1|bgp
42|112|0|mlp
42|187|-1|bgp
42|250|-1|mlp
42|286|-1|bgp,mlp
42|293|-1|bgp
42|553|-1|bgp
42|680|-1|bgp
42|701|-1|bgp
42|715|-1|bgp
42|852|-1|bgp
42|1103|-1|bgp,mlp
42|1248|-1|mlp
42|1267|-1|bgp,mlp
42|1273|-1|bgp
42|1280|-1|bgp
42|1403|-1|bgp
