teste,tempo,media
1,5.843499899,5.784206835
1,6.051099777,5.784206835
1,6.080600023,5.784206835
1,9.085099936,5.784206835
1,6.051399946,5.784206835
1,6.051400185,5.784206835
1,9.051700115,5.784206835
1,3.050800085,5.784206835
1,6.085099936,5.784206835
1,3.082499981,5.784206835
1,6.051700115,5.784206835
1,5.051500082,5.784206835
1,5.985199928,5.784206835
1,6.052000046,5.784206835
1,5.919699907,5.784206835
1,6.05099988,5.784206835
1,6.052400112,5.784206835
1,3.222100019,5.784206835
1,6.068500042,5.784206835
1,3.051399946,5.784206835
1,9.051700115,5.784206835
1,3.051500082,5.784206835
1,3.051300049,5.784206835
1,6.051599979,5.784206835
1,6.051400185,5.784206835
1,6.035399914,5.784206835
1,6.051599979,5.784206835
1,3.006500006,5.784206835
1,5.051599979,5.784206835
1,3.051100016,5.784206835
1,3.052099943,5.784206835
1,6.051399946,5.784206835
1,6.051300049,5.784206835
1,6.052700043,5.784206835
1,3.051000118,5.784206835
1,6.052900076,5.784206835
1,6.052000046,5.784206835
1,3.146600008,5.784206835
1,9.052299976,5.784206835
1,12.05150008,5.784206835
1,5.05369997,5.784206835
1,6.051399946,5.784206835
1,3.05129981,5.784206835
1,6.040800095,5.784206835
1,6.05250001,5.784206835
1,9.056099892,5.784206835
1,5.923000097,5.784206835
1,6.051699877,5.784206835
1,3.050799847,5.784206835
1,3.040800095,5.784206835
1,6.05099988,5.784206835
1,6.022099972,5.784206835
1,3.051100016,5.784206835
1,6.052000046,5.784206835
1,9.046000004,5.784206835
1,6.051800013,5.784206835
1,3.051700115,5.784206835
1,6.051500082,5.784206835
1,12.11059999,5.784206835
1,5.051700115,5.784206835
1,9.046000004,5.784206835
1,5.941100121,5.784206835
1,9.038900137,5.784206835
1,6.051800013,5.784206835
1,6.035600185,5.784206835
1,6.05099988,5.784206835
1,5.896699905,5.784206835
1,3.051200151,5.784206835
1,6.063899994,5.784206835
1,6.052900076,5.784206835
1,3.033699989,5.784206835
1,6.051800013,5.784206835
1,6.051300049,5.784206835
1,3.049299955,5.784206835
1,6.052099943,5.784206835
1,3.051599979,5.784206835
1,9.051500082,5.784206835
1,5.053300142,5.784206835
1,6.041800022,5.784206835
1,3.037699938,5.784206835
1,6.052000046,5.784206835
1,6.051400185,5.784206835
1,6.05250001,5.784206835
1,3.051800013,5.784206835
1,6.051599979,5.784206835
1,9.051600218,5.784206835
1,9.023900032,5.784206835
1,9.054399967,5.784206835
2,3.051199913,5.257181818
2,6.050699949,5.257181818
2,6.051599979,5.257181818
2,6.063699961,5.257181818
2,6.05099988,5.257181818
2,6.051300049,5.257181818
2,6.051599979,5.257181818
2,3.020599842,5.257181818
2,6.050299883,5.257181818
2,6.055500031,5.257181818
2,6.050899982,5.257181818
2,6.051300049,5.257181818
2,6.051300049,5.257181818
2,6.043100119,5.257181818
2,3.050899982,5.257181818
2,6.050800085,5.257181818
2,6.051399946,5.257181818
2,3.260800123,5.257181818
2,6.051599979,5.257181818
2,3.052200079,5.257181818
2,6.050600052,5.257181818
2,3.050800085,5.257181818
2,6.050799847,5.257181818
2,3.055400133,5.257181818
2,3.055700064,5.257181818
2,6.051200151,5.257181818
2,6.051399946,5.257181818
2,3.051000118,5.257181818
2,3.055099964,5.257181818
2,3.050400019,5.257181818
2,6.053900003,5.257181818
2,3.029300213,5.257181818
2,6.051200151,5.257181818
2,6.054399967,5.257181818
2,3.04919982,5.257181818
2,6.05189991,5.257181818
2,6.051200151,5.257181818
2,3.051100016,5.257181818
2,6.053900003,5.257181818
2,9.054000139,5.257181818
2,6.051699877,5.257181818
2,6.051399946,5.257181818
2,3.048399925,5.257181818
2,6.051499844,5.257181818
2,6.051800013,5.257181818
2,6.051100016,5.257181818
2,6.046700001,5.257181818
2,6.052000046,5.257181818
2,6.051599979,5.257181818
2,3.042500019,5.257181818
2,6.050800085,5.257181818
2,3.051500082,5.257181818
2,3.050599813,5.257181818
2,6.054100037,5.257181818
2,9.05009985,5.257181818
2,3.051500082,5.257181818
2,3.052299976,5.257181818
2,6.051100016,5.257181818
2,9.051199913,5.257181818
2,6.037400007,5.257181818
2,6.051400185,5.257181818
2,6.050899982,5.257181818
2,6.052399874,5.257181818
2,6.050899982,5.257181818
2,6.050400019,5.257181818
2,6.051100016,5.257181818
2,6.050899982,5.257181818
2,3.051100016,5.257181818
2,6.097100019,5.257181818
2,3.053600073,5.257181818
2,3.13830018,5.257181818
2,6.050800085,5.257181818
2,6.051300049,5.257181818
2,5.019299984,5.257181818
2,3.051399946,5.257181818
2,3.050799847,5.257181818
2,6.051100016,5.257181818
2,5.878399849,5.257181818
2,6.051100016,5.257181818
2,3.046800137,5.257181818
2,6.051499844,5.257181818
2,6.051300049,5.257181818
2,3.053299904,5.257181818
2,3.051699877,5.257181818
2,6.051399946,5.257181818
2,9.050800085,5.257181818
2,9.088700056,5.257181818
2,6.050599813,5.257181818
3,5.06520009,5.374626149
3,6.026799917,5.374626149
3,6.051900148,5.374626149
3,9.095900059,5.374626149
3,6.051800013,5.374626149
3,5.832000017,5.374626149
3,8.051800013,5.374626149
3,2.101000071,5.374626149
3,6.047299862,5.374626149
3,2.926499844,5.374626149
3,3.052099943,5.374626149
3,6.047099829,5.374626149
3,5.060199976,5.374626149
3,8.051500082,5.374626149
3,5.906500101,5.374626149
3,6.001899958,5.374626149
3,8.055299997,5.374626149
3,2.192800045,5.374626149
3,6.051800013,5.374626149
3,2.890599966,5.374626149
3,6.051700115,5.374626149
3,3.006299973,5.374626149
3,5.051900148,5.374626149
3,5.051599979,5.374626149
3,6.051599979,5.374626149
3,5.05979991,5.374626149
3,5.051100016,5.374626149
3,3.051399946,5.374626149
3,5.051399946,5.374626149
3,3.050899982,5.374626149
3,3.052400112,5.374626149
3,5.017299891,5.374626149
3,5.941200018,5.374626149
3,5.913899899,5.374626149
3,3.006600142,5.374626149
3,5.913600206,5.374626149
3,6.053999901,5.374626149
3,3.051000118,5.374626149
3,8.863199949,5.374626149
3,8.055000067,5.374626149
3,5.05099988,5.374626149
3,5.051399946,5.374626149
3,3.052999973,5.374626149
3,6.044700146,5.374626149
3,6.051200151,5.374626149
3,8.054800034,5.374626149
3,5.051400185,5.374626149
3,5.051100016,5.374626149
3,3.051800013,5.374626149
3,2.996100187,5.374626149
3,5.976300001,5.374626149
3,5.033499956,5.374626149
3,2.050899982,5.374626149
3,6.053999901,5.374626149
3,5.064500093,5.374626149
3,5.023900032,5.374626149
3,3.052399874,5.374626149
3,3.051000118,5.374626149
3,11.94320011,5.374626149
3,5.911499977,5.374626149
3,9.04309988,5.374626149
3,5.028599977,5.374626149
3,8.941799879,5.374626149
3,5.164399862,5.374626149
3,5.051100016,5.374626149
3,5.050800085,5.374626149
3,5.995100021,5.374626149
3,5.03429985,5.374626149
3,6.192500114,5.374626149
3,6.036900043,5.374626149
3,2.080800056,5.374626149
3,5.897600174,5.374626149
3,8.902599812,5.374626149
3,2.981800079,5.374626149
3,6.051699877,5.374626149
3,2.944999933,5.374626149
3,8.860199928,5.374626149
3,5.047600031,5.374626149
3,5.053000212,5.374626149
3,3.010200024,5.374626149
3,5.051000118,5.374626149
3,3.050900221,5.374626149
3,5.993900061,5.374626149
3,5.026100159,5.374626149
3,5.8191998,5.374626149
3,8.969000101,5.374626149
3,6.090899944,5.374626149
3,6.073400021,5.374626149
4,5.027299881,5.965898863
4,5.981000185,5.965898863
4,5.232999802,5.965898863
4,9.054299831,5.965898863
4,5.051399946,5.965898863
4,9.051499844,5.965898863
4,6.039999962,5.965898863
4,3.050199986,5.965898863
4,6.101900101,5.965898863
4,6.030400038,5.965898863
